DATE,BITCOIN,GOOGLE_SEARCHES
2016-05-01,456.98,5
2016-05-08,462.79,2
2016-05-15,461.47,2
2016-05-22,442.48,3
2016-05-29,525.22,2
2016-06-05,575.17,3
2016-06-12,677.86,3
2016-06-19,768.76,3
2016-06-26,638.56,2
2016-07-03,663.55,3
2016-07-10,652.44,2
2016-07-17,680,3
2016-07-24,661,3
2016-07-31,626.97,3
2016-08-07,595.14,2
2016-08-14,574.99,2
2016-08-21,581.29,3
2016-08-28,575.41,2
2016-09-04,611.92,2
2016-09-11,607.94,2
2016-09-18,611.4,2
2016-09-25,601.67,1
2016-10-02,612.4,2
2016-10-09,617.42,2
2016-10-16,641.92,1
2016-10-23,651.04,2
2016-10-30,697.41,3
2016-11-06,717.02,2
2016-11-13,704.01,3
2016-11-20,731.99,2
2016-11-27,729.24,2
2016-12-04,767.99,2
2016-12-11,771.05,2
2016-12-18,790.72,3
2016-12-25,896.12,3
2017-01-01,992.95,5
2017-01-08,923.33,5
2017-01-15,833.31,3
2017-01-22,931.22,2
2017-01-29,916.54,3
2017-02-05,1016.32,3
2017-02-12,1010,2
2017-02-19,1059.88,3
2017-02-26,1184.91,4
2017-03-05,1278.98,6
2017-03-12,1235.58,4
2017-03-19,1019.49,3
2017-03-26,973.08,4
2017-04-02,1113.99,2
2017-04-09,1210.97,3
2017-04-16,1177.99,3
2017-04-23,1251.98,3
2017-04-30,1384.55,6
2017-05-07,1609.57,10
2017-05-14,1799.99,12
2017-05-21,2057,14
2017-05-28,2232.78,8
2017-06-04,2521.36,10
2017-06-11,2998.98,11
2017-06-18,2515.25,8
2017-06-25,2505.61,12
2017-07-02,2516.66,10
2017-07-09,2508.99,10
2017-07-16,1911.78,11
2017-07-23,2754.28,8
2017-07-30,2723.99,13
2017-08-06,3222.22,13
2017-08-13,4060.47,14
2017-08-20,4050.99,14
2017-08-27,4340.11,14
2017-09-03,4626.05,15
2017-09-10,4251.36,17
2017-09-17,3719.97,12
2017-09-24,3669.01,9
2017-10-01,4394.81,9
2017-10-08,4603.49,13
2017-10-15,5693.7,13
2017-10-22,6005.05,15
2017-10-29,6140.01,18
2017-11-05,7392,19
2017-11-12,5886.35,22
2017-11-19,8031.82,20
2017-11-26,9401.11,42
2017-12-03,11290,56
2017-12-10,15290.01,68
2017-12-17,19378.99,64
2017-12-24,14221.94,49
2017-12-31,13863.13,36
2018-01-07,16174.22,39
2018-01-14,13656.23,47
2018-01-21,11518.17,34
2018-01-28,11536,31
2018-02-04,8167.91,41
2018-02-11,8072.99,24
2018-02-18,10380.04,20
2018-02-25,9597.99,17
2018-03-04,11469.9,17
2018-03-11,9533.88,17
2018-03-18,8192,14
2018-03-25,8453,17
2018-04-01,6816.01,14
2018-04-08,7020.01,14
2018-04-15,8355.25,12
2018-04-22,8795.01,11
2018-04-29,9389.01,12
2018-05-06,9600,11
2018-05-13,8686.1,10
2018-05-20,8516.86,9
2018-05-27,7346.64,9
2018-06-03,7706.37,7
2018-06-10,6770.31,11
2018-06-17,6447.16,9
2018-06-24,6149.99,9
2018-07-01,6349.5,10
2018-07-08,6701.97,8
2018-07-15,6348.73,10
2018-07-22,7397.8,12
2018-07-29,8216.34,8
2018-08-05,7030.01,9
2018-08-12,6316.01,9
2018-08-19,6489.53,9
2018-08-26,6709.98,8
2018-09-02,7295.0,9
2018-09-09,6235.01,8
2018-09-16,6498.0,8
2018-09-23,6696.99,8
2018-09-30,6605.0,6
2018-10-07,6570.0,7
2018-10-14,6183.49,7
2018-10-21,6415.88,7
2018-10-28,6403.62,6
2018-11-04,6423.28,7
2018-11-11,6357.6,11
2018-11-18,5560.0,14
2018-11-25,3936.69,14
2018-12-02,4103.19,10
2018-12-09,3531.18,12
2018-12-16,3195.0,11
2018-12-23,3944.93,12
2018-12-30,3829.0,9
2019-01-06,4040.99,10
2019-01-13,3514.24,9
2019-01-20,3536.19,9
2019-01-27,3531.02,9
2019-02-03,3414.78,10
2019-02-10,3648.84,8
2019-02-17,3625.08,10
2019-02-24,3734.22,8
2019-03-03,3786.93,8
2019-03-10,3900.93,8
2019-03-17,3967.01,8
2019-03-24,3969.52,8
2019-03-31,4094.99,13
2019-04-07,5194.79,10
2019-04-14,5164.27,9
2019-04-21,5297.64,12
2019-04-28,5155.0,10
2019-05-05,5715.86,14
2019-05-12,6979.76,21
2019-05-19,8200.0,17
2019-05-26,8760.03,16
2019-06-02,8741.17,13
2019-06-09,7623.84,14
2019-06-16,8996.95,18
2019-06-23,10808.53,27
2019-06-30,10778.74,20
2019-07-07,11478.9,20
2019-07-14,10190.36,19
2019-07-21,10633.54,15
2019-07-28,9549.7,16
2019-08-04,10997.82,20
2019-08-11,11531.95,20
2019-08-18,10309.04,16
2019-08-25,10148.5,16
2019-09-01,9769.64,17
2019-09-08,10395.17,13
2019-09-15,10306.65,12
2019-09-22,10035.0,15
2019-09-29,8063.06,14
2019-10-06,7862.67,15
2019-10-13,8280.01,11
2019-10-20,8235.44,15
2019-10-27,9570.58,15
2019-11-03,9215.01,14
2019-11-10,9036.82,10
2019-11-17,8500.01,14
2019-11-24,6906.25,12
2019-12-01,7413.84,13
2019-12-08,7520.0,13
2019-12-15,7111.0,14
2019-12-22,7550.0,12
2019-12-29,7378.53,11
2020-01-05,7348.69,14
2020-01-12,8192.66,17
2020-01-19,8710.41,12
2020-01-26,8632.92,17
2020-02-02,9314.06,17
2020-02-09,10174.81,19
2020-02-16,9915.04,18
2020-02-23,9964.16,20
2020-03-01,8490.3,17
2020-03-08,8068.0,33
2020-03-15,5327.12,34
2020-03-22,5791.69,25
2020-03-29,5897.55,22
2020-04-05,6779.75,25
2020-04-12,6860.97,22
2020-04-19,7125.31,24
2020-04-26,7765.79,30
2020-05-03,8917.63,31
2020-05-10,8773.89,35
2020-05-17,9700.33,25
2020-05-24,8673.64,22
2020-05-31,9435.8,19
2020-06-07,9764.0,22
2020-06-14,9315.71,21
2020-06-21,9279.68,16
2020-06-28,9122.56,18
2020-07-05,9088.52,17
2020-07-12,9313.77,17
2020-07-19,9221.71,19
2020-07-26,9944.58,31
2020-08-02,11050.03,29
2020-08-09,11692.76,27
2020-08-16,11924.0,25
2020-08-23,11650.03,21
2020-08-30,11724.99,27
2020-09-06,10255.2,22
2020-09-13,10336.28,21
2020-09-20,10911.59,17
2020-09-27,10792.18,16
2020-10-04,10662.36,16
2020-10-11,11370.45,20
2020-10-18,11516.56,23
2020-10-25,13050.32,26
2020-11-01,13784.52,25
2020-11-08,15487.88,25
2020-11-15,15946.64,37
2020-11-22,18477.48,36
2020-11-29,18238.52,33
2020-12-06,19397.08,27
2020-12-13,19133.04,42
2020-12-20,23451.68,42
2020-12-27,26320.06,64
2021-01-03,33134.1,86
2021-01-10,38242.02,87
2021-01-17,35931.15,65
2021-01-24,32250.01,57
2021-01-31,33076.09,53
2021-02-07,38888.74,85
2021-02-14,48703.26,85
2021-02-21,57538.47,100
2021-02-28,45352.29,67
2021-03-07,50858.34,67
2021-03-14,59192.98,63
2021-03-21,57402.03,62
2021-03-28,55821.59,60
2021-04-04,58266.39,50
2021-04-11,60133.37,59
2021-04-18,56351.2,69
2021-04-25,49272.06,73
